corner,process,vdd_scale,temp_c,i_side_a,w_tail,l_tail,nf_tail,nf_ref,ok,fail_reason,i_tail_meas_a,i_ref_meas_a,mirror_err,v_src_dc,vds_tail,vdsat_tail,tail_margin_v,gm_tail,vgs_tail,vth_tail,v_bias_dc,gm_in,peaking_db,f_pk_hz,vn_in_vrms,i_supply_a,power_measured_w
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,336.35856610148574,0.75,8,1,True,,0.001445005,0.0001875,-0.03666333333333327,0.3962877,0.3962877,0.1265366,0.2697511,0.01942603,0.7117557,0.5799348,0.7117557,0.01485158,5.7380141,4365158000.0,0.0004881302,0.00307751,0.005816493900000001
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,518.7358218604037,0.75,8,1,True,,0.001436005,0.0001875,-0.042663333333333386,0.3491617,0.3491617,0.1191746,0.2299871,0.02079664,0.6910303,0.5663383,0.6910303,0.0124165,6.1803661000000005,3630781000.0,0.0004997357,0.00305951,0.005507118
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,518.7358218604037,0.75,8,1,True,,0.001430975,0.0001875,-0.046016666666666706,0.32784,0.32784,0.1537563,0.1740837,0.01593884,0.6759337,0.4801238,0.6759337,0.009665842,5.793594,3162278000.0,0.0005284364,0.00304945,0.0052145595
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,518.7358218604037,0.75,8,1,True,,0.001447391,0.0001875,-0.03507266666666675,0.3960849,0.3960849,0.1066178,0.28946710000000003,0.02313784,0.6810334,0.5781049,0.6810334,0.01485988,6.3046148,3981072000.0,0.0004933938,0.00308228,0.0058255092000000005
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,799.9999999999997,0.75,8,1,True,,0.001438325,0.0001875,-0.04111666666666669,0.348954,0.348954,0.1011704,0.2477836,0.02397179,0.6624131,0.5648803,0.6624131,0.01242426,6.8730150000000005,3311311000.0,0.0004847362,0.00306415,0.00551547
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,799.9999999999997,0.75,8,1,True,,0.001437103,0.0001875018,-0.04193133333333343,0.3272085,0.3272085,0.1308103,0.19639820000000002,0.01838745,0.6390917,0.4779852,0.6390917,0.009680685,6.482744,2884032000.0,0.0005116221,0.00306168,0.005235472799999999
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,799.9999999999997,0.75,8,1,True,,0.001448985,0.0001875,-0.034009999999999985,0.3959493,0.3959493,0.09060744,0.30534186,0.02660527,0.6550937,0.5769183,0.6550937,0.01486542,6.9788003,3801894000.0,0.0004792683,0.00308547,0.0058315383
tt_vdd1.00_t27,tt,1.0,27.0,0.0015,25.0,1.0,8,1,True,,0.001156573,0.0001875,-0.2289513333333334,0.3748719,0.3748719,0.5036933,-0.12882140000000003,0.002025161,1.324967,0.6009923,1.324967,0.01132744,2.3233639999999998,3801894000.0,0.0002898215,0.00250065,0.0045011700000000005
ss_vdd0.95_t125,ss,0.95,125.0,0.0015,25.0,1.0,8,1,True,,0.0009741015,0.0001875,-0.350599,0.3778055,0.3778055,0.6730001,-0.2951946,0.001125243,1.508496,0.5365975,1.508496,0.008201217,1.9025243,3162278000.0,0.0003482161,0.0021357,0.003652047
ff_vdd1.05_t0,ff,1.05,0.0,0.0015,25.0,1.0,8,1,True,,0.001275664,0.0001875,-0.14955733333333343,0.410815,0.410815,0.4459709,-0.03515590000000002,0.002766641,1.248295,0.6046439,1.248295,0.01419264,3.046318,4365158000.0,0.0002849598,0.00273883,0.0051763887
