idx,w_in,l_in,nf_in,i_bias,rs,cs,rl,cl,vcm_in,tt_ok,tt_pass,tt_first_fail,peaking_db,f_pk_hz,nyquist_boost_db,g_dc_db,g_nyq_db,g_pk_db,g_top_db,vn_in_vrms,gm,gmbs,gds,vth,vds,vdsat,id_a,v_src_dc,v_out_dc,power_w,c0_pass,c1_pass,c2_pass,c0_first_fail,c1_first_fail,c2_first_fail
1394,3.079476570410159e-05,7.462241317880005e-07,6.0,0.0028856399193162587,431.82145998809256,6.76132277576331e-13,615.6483243460907,1.5e-13,1.3721129078672059,1,0,S3_peaking,2.287281,1096478000.0,0.40588599999999997,1.702098,2.107984,3.989379,-8.602538,0.0003420414,0.004494331,0.0009170261,0.0001276742,0.6456634,0.7367925,0.3987413,0.00144282,0.1749378,0.9117303,0.005194151854769266,0,0,0,S3_nyq_boost,S3_peaking,S3_peaking
1395,9.257748238770357e-05,5.658903349407165e-07,8.0,0.000566481214802661,251.87465395721722,4.826158688521968e-13,68.44569231960541,1.5e-13,1.5384300494691945,1,0,S3_f_peak,8.190097999999999,19952620000.0,2.49291,-14.82044,-12.32753,-6.630342,-6.625954,0.0005247911,0.004362709,0.0007142161,2.812895e-05,0.7443335,1.074086,0.1114532,0.000283253,0.7065271,1.780613,0.0010196661866447897,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1396,5.067022551514734e-05,1.631665985272352e-07,6.0,0.0022537126023911575,329.0476468337005,2.8613591453931147e-12,76.00815669762827,1.5e-13,1.2100764854458517,1,0,S3_f_peak,9.930887,2630268000.0,9.929326,-11.22866,-1.299334,-1.297773,-5.981458,0.0002103725,0.01231887,0.001661988,0.0004598781,0.7649792,1.362103,0.1058884,0.001126861,0.3522458,1.714348,0.004056682684304084,1,0,0,,S3_f_peak,S3_f_peak
1397,8.145772235198548e-05,3.8484718409555173e-07,4.0,0.0017683439320245822,198.41109507511786,5.419322214408823e-12,58.69351254991495,1.5e-13,1.2904073430602998,1,0,S3_f_peak,6.450353000000001,2511886000.0,6.4503140000000005,-11.45537,-5.005056,-5.005017,-6.414295,0.0002497276,0.009889256,0.001722698,0.0001161762,0.6981712,1.312275,0.1412954,0.0008841721,0.4358288,1.748104,0.003183019077644248,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1398,2.2858416389738787e-05,2.4890229701038074e-07,2.0,0.0005429235397394158,53.51655662864462,4.715140764948969e-12,117.65291873459269,1.5e-13,1.429440552770067,1,0,S3_peaking,0.6228810000000005,1513561000.0,0.5022530000000014,-8.537532,-8.035279,-7.914651,-14.60302,0.0004353622,0.00356621,0.0005663149,7.360084e-05,0.7544351,1.215181,0.1191246,0.0002714618,0.5528811,1.768062,0.0009772623715309484,0,0,0,S3_peaking,S3_peaking,S3_peaking
1399,2.766542943955246e-05,1.6036287622309068e-07,3.0,0.007465078640193349,61.743464683319864,4.280259127648981e-12,163.4671594336449,1.5e-13,1.4306685624725861,1,0,S3_peaking,2.128356,1905461000.0,2.0496160000000003,1.705484,3.7551,3.83384,-5.031471,0.0001808961,0.01186283,0.001715002,0.0008968977,0.7549058,0.9239855,0.2076023,0.003732539,0.2658669,1.189852,0.013437141552348028,0,0,0,S3_peaking,S3_peaking,S3_peaking
1400,3.782215826873252e-05,3.032931454026093e-07,7.0,0.007744276427986965,381.8655970411441,5.490787866252783e-13,236.03496384158709,1.5e-13,1.4784101257782178,1,0,S3_f_peak,6.151876,3162278000.0,5.998062,-3.377304,2.620758,2.774572,-5.827441,0.0002479653,0.01095227,0.00210315,0.0007517836,0.7043193,0.6523243,0.3128995,0.003872138,0.2337157,0.88604,0.013939697570376537,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1401,2.7427953745787828e-05,1.680863451474832e-07,2.0,0.000815796225781572,605.3538714223042,1.7096294926590553e-13,59.29276103500099,1.5e-13,1.117389267179186,1,0,S3_f_peak,7.044460000000001,8317638000.0,4.179700000000002,-19.08123,-14.90153,-12.03677,-13.82952,0.000646572,0.005617365,0.000798186,0.0001504397,0.7443264,1.48361,0.08613121,0.0004078981,0.2922034,1.775813,0.0014684332064068297,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1402,9.69651577559204e-05,2.5714033536124127e-07,4.0,0.0010543799223259511,770.8230072741114,1.4568745344154203e-12,83.7401520187383,1.5e-13,1.4958182564840403,1,0,S3_f_peak,13.270171,2884032000.0,13.25452,-16.51858,-3.26406,-3.248409,-6.902752,0.000285901,0.009200668,0.001367153,0.0001865672,0.7549167,1.092834,0.08874162,0.00052719,0.6630187,1.755853,0.001897883860186712,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1403,6.210069781911828e-05,4.030411189452744e-07,7.0,0.0014687962225776148,579.3584667219939,7.460001805902028e-13,743.7731387598237,1.5e-13,1.4397171986206112,1,0,S3_f_peak,4.611562,1096478000.0,2.462244,3.596768,6.059012,8.20833,-6.891433,0.0002580082,0.007315362,0.001242242,0.0001134072,0.7348259,0.7176738,0.1589927,0.0007343982,0.5361006,1.253774,0.0026438332006397066,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1404,6.640086829129976e-05,2.3488368147368934e-07,7.0,0.0014213867452369366,308.88435450943024,4.913469578088903e-13,250.42300537968595,1.5e-13,1.3396064935838103,1,0,S3_f_peak,3.834201,2754229000.0,3.79313,-1.302654,2.490476,2.531547,-6.680663,0.0002546313,0.009800788,0.001610143,0.0002201459,0.7507331,1.142289,0.1131996,0.0007106934,0.4797367,1.622026,0.002558496141426486,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
1405,6.336166038277348e-05,4.937897106265012e-07,3.0,0.0021146525012335875,301.5403272962189,6.019887556522211e-12,237.03733477149555,1.5e-13,1.2189294324178388,1,0,S3_f_peak,7.197811,870963600.0,6.204741,-2.250724,3.954017,4.947087,-5.232334,0.0002251243,0.008060509,0.001507904,8.578739e-05,0.6662276,1.231264,0.1926361,0.001057326,0.3181101,1.549374,0.0038063745022204575,0,0,0,S3_f_peak,S3_f_peak,S3_f_peak
