stage,corner,temp_c,vcm_out_v,ok,problems,fail_reason,c_in_ff,c_in_lo_ff,cgg_ff,cgs_ff,cgd_ff,cgb_ff,analytic_ff,a_load,g_in_s,gm,id_a,vgs,vds,vdsat,v_src_dc,v_out_dc,runtime_s
summer_min,sf,27.0,1.2,True,,,6.138525138822172,6.13896981773317,2.804785,-2.13359,0.007608347,-0.6788080000000001,6.0517029850705875,1.3440964294065394,6.29840392e-07,0.001945279,0.0005,0.9986442,1.198643,0.1613367,0.2013558,1.399999,0.695605599999908
summer_min,sf,27.0,1.4,True,,,6.093217737228476,6.093642744588507,2.814577,-2.16712,0.01243399,-0.659891,6.029588469186298,1.2948639701927054,6.09488724e-07,0.001894639,0.0005000001,1.033783,1.033783,0.1657133,0.3662167,1.4,0.628307199999881
summer_min,sf,27.0,1.6,True,,,6.049857704588869,6.050263014933145,2.825696,-2.20139,0.01712553,-0.6414350000000001,6.007876453740763,1.2456088714189775,5.89045904e-07,0.001845054,0.0005,1.06916,0.8691595,0.170245,0.5308405,1.4,0.6434785000001284
summer_min,sf,125.0,1.2,True,,,5.917194789323974,5.917624889642186,2.75861,-2.1022700000000003,0.008287474,-0.664626,5.837125599457417,1.1684437358409696,5.97510738e-07,0.001657474,0.0005,1.005764,1.205764,0.2067128,0.1942356,1.4,0.6334550999999919
summer_min,sf,125.0,1.4,True,,,5.8759610921888665,5.876373048843566,2.7682439999999997,-2.13593,0.01297752,-0.645293,5.8167221694802445,1.1224536106269298,5.78888282e-07,0.001608436,0.0005,1.041545,1.041545,0.2112959,0.3584551,1.4,0.6980760999999802
summer_min,sf,125.0,1.6,True,,,5.836979399301324,5.837372906715019,2.779921,-2.17103,0.01740375,-0.62629,5.7966046800452995,1.0759487042370317,5.59975132e-07,0.001560109,0.0005,1.077874,0.8778741,0.2160239,0.5221259,1.4,0.6006396000000223
summer_min,fs,0.0,1.2,True,,,7.066954378897944,7.067583499289393,3.833111,-2.93931,8.566318000000001e-05,-0.893891,7.156553878059562,1.4070975623644597,7.52093264e-07,0.001878268,0.0005,1.194302,1.394299,0.2220308,0.005697811,1.399996,0.6304038999999193
summer_min,fs,0.0,1.4,True,,,7.038645323649048,7.039264105335394,3.8205219999999995,-2.9232299999999998,0.002054068,-0.899344,7.137295514798841,1.3934191162049452,7.4370923e-07,0.001868708,0.0005,1.230821,1.23082,0.2257155,0.1691793,1.4,0.6250947000000906
summer_min,fs,0.0,1.6,True,,,7.011423716830519,7.012030759248263,3.8122370000000005,-2.91738,0.003917739,-0.898779,7.118407902730713,1.3761276398530615,7.3398456e-07,0.001855873,0.0005,1.264516,1.064516,0.2292152,0.3354838,1.4,0.6884818999999425
summer_min,fs,27.0,1.2,True,,,6.984118521835878,6.984733751183895,3.819829,-2.93212,7.430543e-05,-0.88778,7.071748053584366,1.3338199619510227,7.33870804e-07,0.001775922,0.0005,1.197632,1.397629,0.2422812,0.002368027,1.399997,0.5933168999999907
