idx,f_pk_hz_meas,f_peak_closed_true_k,f_peak_closed_pred_k,f_peak_grid,peaking_db_meas,peaking_db_closed,peaking_db_asymptote,f_z,f_p2,k_true,k_pred_calibrated
984,1202264000.0,1242697255.6937137,1209985420.5031667,1213770382.7348003,4.250502,4.584726547041241,9.175880914410438,425530537.96446353,1562673522.00977,3.0844824416528103,2.7588084322877515
985,436515800.0,428753517.2012316,446556891.6147286,445798313.862065,4.264219,4.933441721803619,5.432721280098752,67281171.20499259,1774134539.9771836,1.9656835303936333,1.980724550391351
987,2187762000.0,2240824832.070903,2237004453.8642206,2230689833.230274,4.1088157,4.464625452919153,10.619167666386463,786852329.7069267,2344770779.8210406,3.662141435953178,3.3865220505627427
988,524807500.0,544858861.750049,555828734.7887707,556543049.498125,5.985695,6.788147024123311,7.534743935976228,76700495.93482673,1828444994.6121325,2.5343092224990253,2.4593476230172158
989,2630268000.0,2605606402.846857,2585366531.91275,2580843667.1631017,19.924602,19.319018391157023,19.507440781357772,41075506.13064508,17596153675.13255,10.387443933961956,9.304164611322195
990,1318257000.0,1309520896.8027358,1300881267.340652,1301431202.3260171,5.4515622,5.234703912919617,5.942401395812262,228134823.61091894,4531453577.706955,2.0911943734691376,1.9632461143436455
992,1148154000.0,1172136728.2077935,1195348070.2933705,1198478454.0411522,13.233562,13.24390701713847,13.74368999315303,60019691.264997125,4819686596.361103,5.295709867738405,5.0522152346756775
993,3981072000.0,4011010886.7217064,4312014660.005126,4312876882.696926,8.227784999999999,8.94336033003163,13.729313784773309,746600156.8658401,4748784219.992127,5.286768320263675,5.5602329168785
994,1380384000.0,1443132727.2335541,1408641560.7532969,1404297253.2559485,9.437386,9.623768254752786,10.760671559615979,165026512.10872355,3873454276.6389027,3.7241158395042016,3.3045948131531295
995,457088200.0,477832409.58117664,477092357.14684,477994721.124434,11.2672339,11.104469272847004,11.655239856383515,33226266.714106154,1869971730.2280307,4.140166674076227,3.815170727578003
998,1380384000.0,1375504571.057328,1323839780.6334913,1326418812.3727348,10.036594,10.13332409523679,11.18983207899374,143108922.42696953,3836332954.163144,3.9183697237672326,3.3829159651825824
999,1905461000.0,1914061097.0027752,1957812036.3333266,1952643602.2333722,8.733406899999999,8.488258035652231,9.986559445835631,282094937.50385505,4439689783.198746,3.3970979251266225,3.286222460350827
1001,1584893000.0,1572863667.0072436,1572471795.4308028,1574040105.1784217,3.9835857,3.7848816605610143,4.230764981480118,288273956.67372894,6913493985.896776,1.697294057548298,1.6270763213762254
1005,2290868000.0,1769669555.506038,1768635683.6193535,1764300433.5197732,1.2215500000000006,1.0965726828513571,1.2778679235455552,461685413.7739071,12395271522.90272,1.1761032805608835,1.1581701245371536
1006,5754399000.0,6001181657.2004385,5963055317.104413,5959061184.5958605,0.3931300000000011,0.6159370746524819,2.880930142770638,5249546249.919867,13540843634.159813,1.4370066660223235,1.3884673857420482
1008,3630781000.0,3940219831.8688436,3904180899.2183104,3896876288.7177258,9.044424,9.425877548955185,11.011266214018281,524509506.1270756,8851972051.324554,3.836376732500591,3.4942512666878245
1009,2187762000.0,2175565591.065821,2121168891.4821014,2120381307.148242,6.555868,6.805576006139114,9.241733474436744,472828544.19630075,3883048942.4419966,3.1088020875033204,2.7778963915672144
1011,1445440000.0,1433343082.8071594,1430877442.9606774,1431259901.8318553,6.311381000000001,5.962794885675815,6.240029743303158,145255713.74448645,7980075418.703372,2.1679657807579242,2.0458510634818903
1012,457088200.0,446673219.26825076,484033258.9323997,484093671.97893476,9.836459,9.998750710806826,10.322283852148981,27920967.02821781,2295201758.094061,3.535350813779581,3.8022344390247844
1013,2884032000.0,3053736031.9634914,3190994792.501656,3181381379.4369497,13.24056,13.854179574901764,16.16742353561414,267157584.0881588,5541834105.217468,7.035969283666271,7.005517573906872
1015,4168694000.0,4211647008.636369,4162556292.3388157,4151912047.561972,6.178438,6.017999805196782,7.174835599095031,795582825.4809716,11271701272.789291,2.4269336116945963,2.243011339853936
1018,2089296000.0,2136879611.8713796,2170397619.25481,2174836321.295725,4.430191000000001,4.788329092264655,6.242975651270294,534266047.6045939,5096508231.404497,2.1687388840017388,2.098580621507453
1020,2089296000.0,2043483107.2235847,2027067048.284259,2028345339.628166,3.521987000000001,3.226451176872242,3.3378671717114026,217727599.45357692,18036621463.67417,1.5206284730106714,1.456149403421916
